389,Dozent*in für Geschichte in der postsekundären Bildung
390,Lastenaufzug- und Windenführer*in
391,Instandsetzer*in von Haushaltsgeräten
392,Dozent*in für Hauswirtschaft in der postsekundären Bildung
393,Haushaltshilfe für kranke Menschen
394,Gastwirt*in
395,Hotelrezeptionist*in
396,Assistent*in Personalwesen
397,Leiter*in Personalwesen
398,Spezialist*in Personalwesen
399,Hydrologe/Hydrologin
400,Industrietechniker*in
401,Industrieingenieur*in
402,Industriemaschinenmechaniker*in
403,Leiter*in Industrieproduktion
404,Führer*in von Flurförderzeugen und Industriezugmaschinen
405,Betriebspsychologe/-psychologin
406,Analyst*in für Industriesicherheit
407,Inspektor*in/Prüfer*in
408,Instandsetzungs-/Reparaturfachkraft
409,Unterrichtskoordinator*in
410,Fachkraft für Wärmedämmung
411,Fachkraft für mechanische Wärmedämmung
412,Gutachter*in für Autoversicherungen
413,Sachbearbeiter*in von Schadensfällen bei Versicherungsunternehmen
414,Versicherungsvertreter*in
415,Versicherer*in
416,Innenarchitekt*in
417,Internist*in
418,Übersetzer*in
419,Interviewer*in
420,Hausmeister*in
421,Juwelier*in
422,Richter*in|
423,Rechtspfleger*in
424,Erzieher*in
425,Fachmann/-frau für Öffentlichkeitsarbeit
426,Ungelernte Arbeitskraft/Materialbeförderer/Materialbeförderin
427,Landschaftsarchitekt*in
428,Fachkraft für Landschaftsbau und Grünanlagenpflege
429,Bediener*in von Drehmaschinenwerkzeugen
430,Fachkraft in Wäschereien/Trocknereien
431,Dozent*in für Recht in der postsekundären Bildung
432,Rechtsanwalt/-anwältin
433,Fachkraft für den Anriss von Kunststoff- und Metallwerkstücken
434,Rechtsanwaltsfachangestellte/r
435,Bibliothekar*in
436,Bibliotheksassistent*in
437,Dozent*in für Bibliothekswissenschaft in der postsekundären Bildung
438,Bibliothekstechniker*in
439,Gesundheits- und Krankenpfleger*in
440,"Techniker*in für Biowissenschaft, Naturwissenschaft und Sozialwissenschaft"
441,Rettungsschwimmer*in
442,Fahrer*in von Kleinlastwagen/Lieferwagen
443,Bediener*in von Lademaschinen im Untertagebau
444,Darleheninterviewer*in
445,Kreditsachbearbeiter*in
446,Umkleideraumaufsichtskraft
447,Schlosser*in
448,Zugführer*in
449,Quartiermanager*in
450,Holzstammsortierer*in
451,Bediener*in von Datenerfassungsgeräten
452,Logistiker*in
453,Maschinenbeschicker*in
454,Maschinist*in
455,Technologe/Technologin für Kernspintomografie
456,Haushaltsreinigungskraft
457,Postbeamte*r
458,Instandhaltungs-/Reparaturfachkraft
459,Fachkraft für die Instandhaltung von Maschinen
460,Makeup-Artist
461,Managementanalyst*in
462,Manager*in
463,Kosmetiker*in (Maniküre)/Fusspfleger*in (Pediküre)
464,Wohnwageninstallateur*in
465,Schiffsingenieur*in
466,Marktforschungsanalyst*in
467,Marketingmanager*in
468,Ehe- und Familientherapeut*in
469,Massagetherapeut*in
470,Werkstoffingenieur*in
471,Materialwissenschaftler*in
472,Dozent*in für Mathematikwissenschaft in der postsekundären Bildung
473,Mathematiker*in
474,"Fleisch-, Geflügel- Fischschneider*in"
475,Instandsetzer*in von mechanischen Türen
476,Mechanische*r Zeichner*in
477,Mechaniker*in
478,Maschinenbauingenieur*in
479,Medizintechniker*in
480,Medizintechnologe/-technologin
481,Manager*in im Gesundheitswesen
482,Medizingerätetechniker*in
483,Medizinische*r Fachangestellte*r
484,Vorbereiter*in von Medizingeräten
485,Instandsetzer*in von Medizingeräten
486,Krankenaktentechniker*in
487,Medizinwissenschaftler*in
488,Helfer*in von Ärzt*innen
489,Medizinische*r Sekretär*in
490,Veranstaltungsorganisator*in
491,Sozialarbeiter*in in der Psychiatrie
492,Berater*in für psychische Gesundheit
493,Schaugewerbegestalter*in
494,Bediener*in eines Metallraffinationsofens
495,Zählerableser*in
496,Mikrobiologe/Mikrobiologin
497,Realschullehrer*in
498,Bediener*in einer Fräs-/Hobelmaschine
499,Mühlenbauer*in
500,Bediener*in einer Vortriebsmaschine im Bergbau
501,Grubenwagenfahrer*in
502,Geoingenieur*in
503,Bediener*in einer Mischmaschine
504,Mechaniker*in für mobile Schwerlastgeräte
505,Metall-/Kunststoffmodellbauer*in
506,Holzmodellbauer*in
507,Model
508,Gießer*in/Former*in
509,Bediener*in einer Press-/Kernfertigungs-/Gießmaschine
510,Beerdigungsunternehmer*in
511,Filmvorführer*in
512,Motorbootmechaniker*in
513,Motorbootbetreiber*in
514,Motorradmechaniker*in
515,Multimedia Artist
516,Bediener*in mehrerer Maschinenwerkzeuge
517,Museumstechniker*in
518,Komponist*in
519,Instandsetzer*in/Stimmer*in von Musikinstrumenten
520,Manager*in Naturwissenschaften
521,Systemadministrator*in
522,Sachbearbeiter*in für Neukund*innen
523,Tierpfleger*in (ohne Landwirtschaft)
524,Kernkraftingenieur*in
525,Nuklearmedizintechniker*in
526,Kernkraftreaktorfahrer*in
527,Kernkrafttechniker*in
528,Fachpflegekraft für Intensivpflege und Anästhesie
529,Hebamme
530,Krankenpfleger*in
531,Pflegehelfer*in
532,Ausbilder*innen und Dozent*innen für Krankenpflege in der postsekundären Bildung
533,Geburtshelfer*in/Gynäkologe/Gynäkologin
534,Spezialist*in für Arbeitsschutz
535,Techniker*in für Arbeitsschutz
536,Ergotherapeut*in
537,Helfer*in von Ergotherapeut*innen
538,Assistent*in von Ergotherapeut*innen
