SOC,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
43-3051,0.688038,0.795343,0.764074,0.770617,0.830403,0.821915,0.820794,0.878317,0.878317,0.878317,0.878317,0.878317,0.878317,0.852784
43-3061,0.699083,0.800172,0.773673,0.771698,0.814194,0.802747,0.799199,0.860057,0.860057,0.860057,0.860057,0.860057,0.840898,0.840898
43-3071,0.647826,0.735025,0.711466,0.713471,0.774655,0.768515,0.732428,0.770306,0.770306,0.770306,0.770306,0.770306,0.770306,0.770306
43-4011,0.729420,0.738280,0.703581,0.724365,0.788111,0.782906,0.781510,0.836165,0.836165,0.836165,0.836165,0.841016,0.841016,0.841016
43-4021,0.737551,0.744379,0.720577,0.716919,0.834171,0.827048,0.823582,0.864638,0.864638,0.864638,0.864638,0.864638,0.864638,0.840818
43-4031,0.718511,0.722174,0.763459,0.762287,0.817162,0.813446,0.811236,0.840136,0.840136,0.854762,0.854762,0.854762,0.854762,0.854762
43-4041,0.673397,0.680089,0.654211,0.784514,0.836348,0.826495,0.821638,0.859993,0.859993,0.859993,0.859993,0.859993,0.859993,0.859993
43-4051,0.692090,0.739923,0.718007,0.718867,0.773157,0.766749,0.779702,0.840383,0.840383,0.840383,0.841137,0.841137,0.841137,0.841137
43-4061,0.759896,0.769209,0.752817,0.766959,0.805121,0.800674,0.797728,0.862034,0.862034,0.862034,0.862034,0.862034,0.862034,0.853283
43-4071,0.645598,0.693600,0.676763,0.676226,0.730496,0.726035,0.723284,0.757156,0.757156,0.757156,0.757156,0.736246,0.736246,0.736246
43-4081,0.737433,0.745788,0.727466,0.729108,0.784725,0.778495,0.756695,0.800033,0.800033,0.800033,0.800033,0.800033,0.800033,0.800033
43-4111,0.749640,0.787925,0.771667,0.771376,0.820498,0.817706,0.794828,0.824295,0.824295,0.824295,0.837802,0.837802,0.837802,0.837802
43-4121,0.603137,0.662965,0.646965,0.646905,0.706460,0.701087,0.697875,0.757508,0.757508,0.757508,0.757508,0.757508,0.757508,0.757508
43-4131,0.686641,0.694411,0.663591,0.671698,0.816714,0.808587,0.807204,0.860256,0.860256,0.860256,0.860256,0.860256,0.860256,0.860256
43-4141,0.723283,0.726078,0.750632,0.749696,0.809512,0.803930,0.802339,0.848295,0.841590,0.841590,0.841590,0.841590,0.841590,0.841590
43-4151,0.717931,0.678594,0.656713,0.657450,0.716219,0.713027,0.707473,0.746585,0.746585,0.746585,0.746585,0.746585,0.746585,0.766934
43-4161,0.688319,0.772479,0.751489,0.754693,0.812690,0.806733,0.812520,0.851698,0.851698,0.851698,0.851698,0.851698,0.851698,0.851698
43-4171,0.734753,0.743670,0.723049,0.725902,0.778134,0.771164,0.768148,0.791522,0.791522,0.791522,0.791522,0.815827,0.815827,0.815827
43-4181,0.726927,0.734281,0.707603,0.688954,0.733293,0.725812,0.723697,0.776784,0.776784,0.776784,0.748182,0.748182,0.748182,0.748182
43-5011,0.607622,0.613943,0.594031,0.723740,0.776336,0.771061,0.769303,0.798607,0.798607,0.805445,0.805445,0.805445,0.805445,0.805445
43-5021,0.496337,0.503756,0.553479,0.554165,0.598346,0.594883,0.592387,0.620745,0.620745,0.620745,0.620745,0.620745,0.620745,0.607038
43-5031,0.643182,0.706577,0.698223,0.699328,0.750713,0.745150,0.734739,0.755424,0.755424,0.755424,0.755424,0.755424,0.755424,0.761565
43-5032,0.686706,0.728392,0.709661,0.704226,0.740009,0.730044,0.737548,0.801636,0.801636,0.801636,0.784026,0.784026,0.784026,0.784026
43-5041,0.529748,0.530941,0.506021,0.504829,0.603017,0.597631,0.594670,0.623853,0.623853,0.623853,0.623853,0.623853,0.623853,0.605314
43-5051,0.578537,0.585703,0.563891,0.565235,0.684378,0.679925,0.676066,0.702740,0.702740,0.702740,0.702740,0.702740,0.702740,0.699821
43-5052,0.538729,0.548365,0.522670,0.521974,0.623802,0.622086,0.620640,0.627062,0.627062,0.627062,0.627062,0.627062,0.627062,0.605886
43-5061,0.669056,0.676096,0.648832,0.647648,0.743292,0.733316,0.730961,0.786135,0.786135,0.786135,0.745506,0.745506,0.745506,0.745506
43-5071,0.570609,0.579611,0.629036,0.626958,0.672153,0.666822,0.617529,0.632512,0.632512,0.650750,0.650750,0.650750,0.650750,0.650750
43-5081,0.507674,0.675952,0.659796,0.660746,0.707249,0.702038,0.700138,0.713011,0.713011,0.713011,0.713011,0.713011,0.699943,0.699943
43-5111,0.479426,0.488961,0.464757,0.467691,0.701048,0.696320,0.693707,0.719612,0.719612,0.719612,0.719612,0.719612,0.719612,0.719612
43-6011,0.721946,0.789803,0.771816,0.773363,0.827808,0.820195,0.794384,0.831920,0.831920,0.831920,0.831920,0.831920,0.831920,0.831920
43-6012,0.770473,0.779883,0.763322,0.760123,0.817614,0.811373,0.810306,0.834819,0.834819,0.834819,0.834819,0.834819,0.834819,0.834819
43-6013,0.714106,0.724252,0.710804,0.711794,0.755531,0.831823,0.828032,0.843114,0.843114,0.843114,0.847647,0.847647,0.847647,0.847647
43-6014,0.618253,0.769247,0.753789,0.752795,0.803417,0.796999,0.791665,0.838955,0.838955,0.831140,0.831140,0.831140,0.831140,0.831140
43-9011,0.592432,0.602661,0.757791,0.753034,0.791334,0.783871,0.667360,0.698594,0.698594,0.698594,0.698594,0.698594,0.698594,0.698594
43-9021,0.594134,0.608285,0.579404,0.581656,0.726725,0.718938,0.716878,0.762375,0.762375,0.762375,0.762375,0.762375,0.762375,0.762375
43-9022,0.728967,0.737581,0.714277,0.712711,0.763108,0.755215,0.753211,0.802223,0.802223,0.802223,0.802223,0.802223,0.802223,0.802223
43-9031,0.555437,0.681001,0.661298,0.660437,0.711216,0.700673,0.665909,0.699388,0.699388,0.699388,0.699388,0.699388,0.699388,0.699388
43-9041,0.689461,0.696490,0.666427,0.752627,0.821239,0.816682,0.814009,0.850614,0.850614,0.850614,0.850614,0.850614,0.848122,0.848122
43-9051,0.424056,0.435842,0.415108,0.476736,0.623426,0.618458,0.617233,0.647312,0.647312,0.647312,0.647312,0.647312,0.647312,0.628529
43-9061,0.711501,0.721635,0.702044,0.707313,0.770579,0.765648,0.760581,0.796504,0.796504,0.796504,0.796504,0.796504,0.796504,0.796504
43-9071,0.466823,0.472669,0.454721,0.450628,0.637857,0.629305,0.626270,0.650251,0.650251,0.650251,0.650251,0.650251,0.650251,0.650251
43-9081,0.623787,0.632046,0.813198,0.812236,0.858890,0.848305,0.845015,0.886946,0.886946,0.886946,0.886946,0.886946,0.886946,0.850997
43-9111,0.677688,0.692649,0.641482,0.732917,0.791632,0.780848,0.777220,0.831268,0.831268,0.831268,0.831268,0.831268,0.845624,0.845624
45-1011,0.589672,0.594724,0.570587,0.533109,0.577736,0.571025,0.569269,0.609746,0.609746,0.609746,0.609746,0.602274,0.602274,0.602274
45-2011,0.584549,0.593794,0.569150,0.570017,0.623754,0.644694,0.641684,0.681313,0.681313,0.681313,0.691830,0.691830,0.691830,0.691830
45-2021,0.570040,0.577391,0.554317,0.586287,0.616336,0.609547,0.606910,0.642678,0.642678,0.642678,0.642678,0.642678,0.642678,0.642678
45-2041,0.389879,0.407704,0.385918,0.390869,0.615307,0.610181,0.610081,0.642671,0.642671,0.642671,0.642671,0.642671,0.642671,0.642671
45-2091,0.402116,0.410426,0.390162,0.390002,0.523389,0.516917,0.513004,0.502445,0.502445,0.502445,0.502445,0.502445,0.502445,0.502445
45-2092,0.400075,0.411366,0.393489,0.393959,0.554804,0.549040,0.547497,0.581733,0.581733,0.581733,0.581733,0.581733,0.581733,0.592931
45-2093,0.396015,0.404317,0.390203,0.387713,0.570833,0.569080,0.567408,0.584012,0.584012,0.584012,0.584012,0.584012,0.584012,0.584012
45-3011,0.427700,0.435984,0.418662,0.420169,0.507733,0.500247,0.494739,0.532869,0.532869,0.532869,0.532869,0.532869,0.532869,0.532869
45-3021,0.351187,0.361216,0.349683,0.350595,0.565217,0.559112,0.557580,0.579849,0.579849,0.579849,0.579849,0.579849,0.579849,0.578293
45-4011,0.450373,0.461172,0.586277,0.583066,0.611963,0.603441,0.600089,0.630441,0.630441,0.630441,0.630441,0.639321,0.639321,0.639321
45-4021,0.372750,0.382163,0.363376,0.360356,0.475238,0.468098,0.467619,0.478229,0.478229,0.478229,0.478229,0.478229,0.478229,0.478229
45-4022,0.353484,0.361178,0.351891,0.498145,0.512491,0.507808,0.506266,0.537925,0.537925,0.537925,0.537925,0.537925,0.537925,0.537925
45-4023,0.487166,0.497817,0.462669,0.593940,0.631947,0.624120,0.621919,0.662716,0.662716,0.662716,0.662716,0.662716,0.662716,0.662716
47-1011,0.538256,0.545543,0.522225,0.555881,0.626981,0.620880,0.618489,0.652072,0.652072,0.648088,0.648088,0.648088,0.648088,0.648088
47-2011,0.361407,0.365605,0.343220,0.338148,0.557940,0.551340,0.549680,0.570573,0.570573,0.570573,0.570573,0.570573,0.564273,0.564273
47-2021,0.377822,0.385208,0.551004,0.552707,0.592461,0.585401,0.584055,0.579415,0.579415,0.579415,0.579415,0.579415,0.579415,0.579415
47-2022,0.381271,0.387173,0.372074,0.520623,0.556570,0.549170,0.548237,0.576351,0.576351,0.576351,0.576351,0.576351,0.576351,0.576351
47-2031,0.532912,0.539469,0.520614,0.519986,0.553526,0.545523,0.544304,0.557870,0.557870,0.557870,0.557870,0.573174,0.573174,0.573174
47-2041,0.423050,0.524075,0.505107,0.504161,0.551878,0.547636,0.545582,0.577786,0.576124,0.576124,0.576124,0.576124,0.576124,0.576124
47-2042,0.442139,0.450011,0.430556,0.561930,0.596854,0.587763,0.587409,0.618751,0.618751,0.618751,0.618751,0.618751,0.618751,0.618751
47-2043,0.319932,0.324462,0.307078,0.301982,0.360872,0.548865,0.547759,0.565763,0.565763,0.565763,0.565763,0.565763,0.565763,0.565763
47-2044,0.410506,0.597735,0.575996,0.579211,0.621735,0.614675,0.570456,0.581788,0.581788,0.581788,0.581788,0.581788,0.581788,0.581788
47-2051,0.406584,0.414191,0.521673,0.524728,0.567710,0.560817,0.559220,0.567720,0.567720,0.567720,0.567720,0.567720,0.567720,0.567720
47-2053,0.406584,0.414191,0.395766,0.506896,0.538623,0.517965,0.516180,0.537907,0.537907,0.537907,0.537907,0.537907,0.542202,0.542202
47-2061,0.340459,0.345598,0.328126,0.327201,0.545134,0.540082,0.535725,0.541423,0.541423,0.556338,0.556338,0.556338,0.556338,0.556338
47-2071,0.309687,0.316467,0.530291,0.527468,0.560675,0.555283,0.553895,0.577250,0.542844,0.542844,0.542844,0.542844,0.542844,0.542844
47-2072,0.272686,0.279154,0.265248,0.264278,0.327857,0.515727,0.513581,0.529998,0.529998,0.529998,0.529998,0.529998,0.529998,0.529998
47-2073,0.320945,0.326451,0.310530,0.525972,0.538787,0.531928,0.529054,0.544606,0.544606,0.556766,0.556766,0.556766,0.556766,0.556766
47-2081,0.390835,0.398630,0.375745,0.399207,0.590674,0.582511,0.580019,0.592925,0.592925,0.592925,0.592925,0.592925,0.592925,0.560437
47-2082,0.367636,0.375697,0.364479,0.360986,0.589825,0.584005,0.582886,0.608080,0.608080,0.608080,0.608080,0.608080,0.576576,0.576576
47-2111,0.454906,0.532580,0.514632,0.514414,0.559859,0.546659,0.538598,0.564686,0.564686,0.564686,0.585783,0.585783,0.585783,0.585783
47-2121,0.404214,0.414246,0.389165,0.392426,0.557875,0.552572,0.550259,0.574703,0.574703,0.574703,0.574703,0.585905,0.585905,0.585905
47-2131,0.421067,0.425051,0.395165,0.395696,0.553153,0.548025,0.545525,0.567083,0.567083,0.567083,0.567083,0.567083,0.549570,0.549570
47-2132,0.421067,0.425051,0.395165,0.395696,0.593261,0.586039,0.585048,0.611366,0.611366,0.611366,0.611366,0.611366,0.611366,0.611366
47-2141,0.433099,0.435277,0.419866,0.418178,0.594570,0.590775,0.588877,0.606718,0.606718,0.606718,0.606718,0.618844,0.618844,0.618844
47-2142,0.441501,0.442742,0.414454,0.413958,0.479715,0.565410,0.564459,0.583074,0.583074,0.583074,0.583074,0.583074,0.583074,0.583074
47-2151,0.335970,0.342054,0.321498,0.319326,0.555055,0.548661,0.546460,0.559389,0.559389,0.559389,0.559389,0.559389,0.550030,0.550030
47-2152,0.352748,0.363519,0.588076,0.586887,0.615821,0.608645,0.603200,0.574429,0.574429,0.574429,0.574429,0.558345,0.558345,0.558345
47-2161,0.471454,0.478104,0.463475,0.544856,0.571632,0.561100,0.560550,0.588262,0.588262,0.588262,0.588262,0.588262,0.592119,0.592119
47-2171,0.362556,0.366857,0.346700,0.349548,0.563657,0.558034,0.555571,0.564303,0.564303,0.564303,0.564303,0.564303,0.552364,0.552364
47-2181,0.357069,0.361408,0.343728,0.342914,0.572314,0.563132,0.560662,0.589368,0.589368,0.589368,0.589368,0.589368,0.580100,0.580100
47-2211,0.435948,0.443974,0.529349,0.529397,0.567732,0.564513,0.562562,0.569460,0.569460,0.569460,0.569460,0.566667,0.566667,0.566667
47-2221,0.324604,0.332146,0.315525,0.319575,0.533417,0.528397,0.526981,0.544087,0.544087,0.544087,0.544087,0.544087,0.530851,0.530851
47-3011,0.372874,0.379252,0.361554,0.361554,0.533192,0.526637,0.522481,0.544793,0.544793,0.544793,0.526367,0.526367,0.526367,0.526367
47-3012,0.329926,0.338938,0.322291,0.502059,0.542059,0.534724,0.531370,0.546899,0.546899,0.546899,0.541144,0.541144,0.541144,0.541144
47-3013,0.343282,0.350602,0.537801,0.533422,0.569402,0.563049,0.559170,0.563963,0.550624,0.550624,0.550624,0.550624,0.550624,0.550624
47-3014,0.417763,0.421711,0.400197,0.397566,0.521537,0.514026,0.513461,0.537887,0.537887,0.537887,0.537887,0.537887,0.537887,0.537887
47-3015,0.351268,0.360088,0.529469,0.525829,0.560191,0.551646,0.549761,0.548897,0.574680,0.574680,0.574680,0.574680,0.574680,0.574680
47-4011,0.582241,0.590793,0.570182,0.572748,0.627333,0.667161,0.663487,0.685065,0.685065,0.685065,0.683360,0.683360,0.683360,0.683360
47-4021,0.390042,0.394229,0.374307,0.368515,0.553481,0.546825,0.542990,0.566274,0.566274,0.566274,0.566274,0.566274,0.566274,0.566274
47-4031,0.365100,0.369268,0.344883,0.343424,0.540268,0.535684,0.534858,0.552451,0.552451,0.552451,0.552451,0.552451,0.552451,0.552451
47-4041,0.417656,0.423181,0.404508,0.403679,0.584649,0.579559,0.578683,0.611925,0.611925,0.611925,0.611925,0.611925,0.608809,0.608809
47-4051,0.368485,0.371302,0.524162,0.520499,0.544515,0.538717,0.534011,0.553752,0.553752,0.553752,0.553752,0.553752,0.553752,0.553752
47-4061,0.325415,0.330613,0.316837,0.314342,0.537289,0.528946,0.526165,0.538483,0.538483,0.538483,0.538483,0.538483,0.541790,0.541790
47-4071,0.483806,0.484591,0.459104,0.457418,0.551087,0.546540,0.544584,0.569562,0.569562,0.569562,0.569562,0.569562,0.569562,0.569562
47-5011,0.318395,0.323667,0.300733,0.492299,0.526827,0.519673,0.518600,0.539722,0.539722,0.539722,0.539722,0.539722,0.539722,0.539722
47-5012,0.369995,0.376096,0.361185,0.540044,0.574381,0.565030,0.562850,0.592083,0.592083,0.592083,0.592083,0.592083,0.592083,0.592083
47-5013,0.523987,0.528406,0.517522,0.516486,0.556211,0.548468,0.546735,0.572515,0.572515,0.572515,0.592626,0.592626,0.592626,0.592626
47-5021,0.332239,0.337037,0.322642,0.348014,0.537395,0.534278,0.530715,0.552459,0.552459,0.552459,0.552459,0.552459,0.552459,0.552459
47-5031,0.368238,0.375198,0.354761,0.553360,0.588643,0.582252,0.580362,0.612329,0.612329,0.612329,0.612329,0.612329,0.612329,0.612329
47-5041,0.285886,0.291355,0.284792,0.284902,0.339585,0.508326,0.501908,0.520237,0.520237,0.520237,0.520237,0.520237,0.520237,0.534826
47-5042,0.351510,0.356297,0.474559,0.473415,0.511557,0.507397,0.505655,0.528009,0.528009,0.528009,0.528009,0.528009,0.528009,0.528009
47-5051,0.332006,0.337862,0.325212,0.323338,0.373704,0.528914,0.524104,0.539999,0.539999,0.539999,0.539999,0.539999,0.539999,0.539999
47-5061,0.369194,0.380938,0.480235,0.476325,0.506588,0.502012,0.498494,0.519116,0.519116,0.519116,0.519116,0.519116,0.519116,0.519116
47-5071,0.290464,0.296807,0.519172,0.516498,0.548937,0.543095,0.540014,0.564432,0.538092,0.538092,0.538092,0.538092,0.538092,0.538092
47-5081,0.338661,0.346053,0.333256,0.335197,0.531364,0.528915,0.525216,0.555037,0.555037,0.555037,0.555037,0.555037,0.555037,0.555037
49-1011,0.620014,0.612536,0.591339,0.590056,0.624640,0.624952,0.619717,0.646948,0.646948,0.646948,0.649174,0.649174,0.649174,0.649174
49-2011,0.494728,0.502467,0.477704,0.472949,0.625315,0.618083,0.609625,0.644533,0.644533,0.644533,0.644533,0.644533,0.609972,0.609972
49-2021,0.434275,0.440646,0.422241,0.417074,0.593506,0.584822,0.575717,0.604653,0.604653,0.604653,0.587139,0.587139,0.587139,0.587139
49-2022,0.478282,0.482106,0.459165,0.443721,0.576500,0.568875,0.557943,0.588806,0.588806,0.588806,0.588806,0.588806,0.588806,0.588806
49-2091,0.400691,0.408297,0.378094,0.558731,0.600864,0.592831,0.586880,0.622269,0.622269,0.622269,0.622269,0.622269,0.617937,0.617937
49-2092,0.483957,0.487222,0.467546,0.378768,0.540575,0.532430,0.531441,0.569913,0.569913,0.569913,0.569913,0.569913,0.569913,0.569913
49-2093,0.401901,0.410048,0.390801,0.392159,0.579409,0.571928,0.567136,0.595778,0.595778,0.595778,0.595778,0.595778,0.595778,0.595778
49-2094,0.550185,0.557385,0.535617,0.530936,0.577257,0.570753,0.544530,0.573414,0.573414,0.573414,0.573414,0.586395,0.586395,0.586395
49-2095,0.424531,0.431078,0.404465,0.405774,0.594113,0.585912,0.579511,0.613869,0.613869,0.613869,0.613869,0.613869,0.613869,0.613869
49-2096,0.401901,0.410048,0.390801,0.392159,0.570918,0.562487,0.557445,0.582176,0.582176,0.582176,0.582176,0.582176,0.582176,0.593785
49-2097,0.490571,0.495008,0.474598,0.474567,0.607558,0.601131,0.592064,0.621939,0.621939,0.621939,0.621939,0.621939,0.621939,0.621939
49-3011,0.370246,0.378501,0.353352,0.518221,0.559623,0.556093,0.551685,0.578396,0.578396,0.578396,0.580990,0.580990,0.580990,0.580990
49-3021,0.428116,0.516891,0.502722,0.501802,0.541052,0.535310,0.528032,0.559969,0.559969,0.559969,0.559969,0.559969,0.559969,0.559969
49-3022,0.421627,0.426328,0.406911,0.571429,0.606648,0.602299,0.600637,0.615889,0.615889,0.615889,0.615889,0.587712,0.587712,0.587712
49-3023,0.437094,0.524825,0.507015,0.506013,0.549148,0.544513,0.530842,0.556356,0.556356,0.556356,0.556356,0.556356,0.556356,0.556356
49-3031,0.426337,0.493699,0.479901,0.475406,0.518202,0.513499,0.517002,0.540647,0.540647,0.540647,0.561646,0.561646,0.561646,0.561646
49-3041,0.375724,0.380785,0.363987,0.364367,0.523620,0.516380,0.514336,0.537683,0.537683,0.537683,0.537683,0.537683,0.537683,0.553108
49-3042,0.439095,0.514125,0.495906,0.491296,0.530387,0.525484,0.506531,0.540451,0.540451,0.540451,0.540451,0.540451,0.540451,0.540451
49-3043,0.352006,0.357316,0.338428,0.479512,0.514955,0.508020,0.505452,0.520602,0.520602,0.520602,0.520602,0.520602,0.520602,0.520602
49-3051,0.427477,0.433213,0.417438,0.412890,0.554306,0.547250,0.543840,0.565211,0.565211,0.565211,0.565211,0.565211,0.559523,0.559523
49-3052,0.458241,0.463798,0.446173,0.528490,0.565858,0.560870,0.558787,0.585104,0.585104,0.585104,0.585104,0.568208,0.568208,0.568208
49-3053,0.448044,0.453845,0.435988,0.431306,0.571726,0.567210,0.563559,0.586569,0.586569,0.586569,0.586569,0.586569,0.586569,0.586569
49-3091,0.474935,0.479120,0.558876,0.556164,0.587762,0.577690,0.576963,0.600742,0.600742,0.600742,0.600742,0.600742,0.600742,0.618392
49-3092,0.465043,0.468861,0.444729,0.504890,0.547220,0.542470,0.537417,0.563211,0.563211,0.563211,0.563211,0.563211,0.572432,0.572432
49-3093,0.427129,0.430631,0.416389,0.528795,0.564280,0.559115,0.555154,0.571437,0.571437,0.571437,0.571437,0.583683,0.583683,0.583683
49-9011,0.349086,0.354436,0.333928,0.501805,0.545625,0.540453,0.538769,0.556450,0.556450,0.556450,0.556450,0.556450,0.559988,0.559988
49-9012,0.404046,0.411035,0.392306,0.392777,0.564123,0.558853,0.553899,0.578229,0.578229,0.578229,0.578229,0.578229,0.578229,0.578229
49-9021,0.535348,0.541537,0.522712,0.517867,0.557258,0.550772,0.548063,0.559735,0.559735,0.559735,0.559735,0.586751,0.586751,0.586751
49-9031,0.447163,0.450905,0.433597,0.433552,0.590070,0.587362,0.585868,0.610095,0.610095,0.610095,0.610095,0.610095,0.610095,0.610095
49-9041,0.407402,0.416176,0.397684,0.398378,0.516453,0.509214,0.505435,0.534682,0.534682,0.534682,0.521866,0.521866,0.521866,0.521866
49-9043,0.411784,0.417493,0.400364,0.401149,0.522510,0.514577,0.511498,0.531953,0.531953,0.531953,0.531953,0.531953,0.547105,0.547105
49-9044,0.356813,0.519035,0.499728,0.496673,0.532683,0.527138,0.526391,0.561465,0.561465,0.561465,0.561465,0.561465,0.561465,0.561465
49-9045,0.330984,0.338447,0.321075,0.321158,0.544404,0.536765,0.535469,0.545060,0.545060,0.545060,0.545060,0.545060,0.545060,0.545060
49-9051,0.372909,0.380937,0.361701,0.550530,0.582928,0.577010,0.572109,0.591343,0.591343,0.606173,0.606173,0.606173,0.606173,0.606173
49-9052,0.489916,0.495826,0.468602,0.469304,0.586127,0.580140,0.571018,0.597026,0.597026,0.597026,0.597026,0.597026,0.579469,0.579469
49-9061,0.508035,0.513473,0.499334,0.571682,0.613555,0.605617,0.600884,0.630259,0.630259,0.630259,0.630259,0.630259,0.645817,0.645817
49-9062,0.513057,0.570940,0.547294,0.546201,0.586122,0.578412,0.568902,0.602994,0.602994,0.602994,0.620750,0.620750,0.620750,0.620750
49-9063,0.387448,0.395981,0.385314,0.386046,0.602978,0.597934,0.596253,0.617264,0.617264,0.617264,0.617264,0.617264,0.617264,0.631184
49-9064,0.463255,0.468709,0.444167,0.447803,0.523247,0.585192,0.584339,0.628812,0.628812,0.628812,0.628812,0.628812,0.628812,0.628812
49-9071,0.373000,0.517665,0.502842,0.498981,0.535342,0.528362,0.524548,0.538624,0.575932,0.575932,0.575932,0.549158,0.549158,0.549158
49-9091,0.433189,0.437594,0.414120,0.417643,0.597654,0.594916,0.591661,0.602702,0.602702,0.602702,0.602702,0.602702,0.602702,0.602702
49-9092,0.329080,0.337493,0.325119,0.324068,0.568129,0.561001,0.558503,0.584697,0.584697,0.584697,0.584697,0.584697,0.577139,0.577139
49-9093,0.430011,0.437984,0.418679,0.420046,0.491800,0.581797,0.579396,0.595413,0.595413,0.595413,0.595413,0.595413,0.595413,0.595413
49-9094,0.483081,0.490237,0.579944,0.579814,0.612065,0.604662,0.601740,0.614153,0.614153,0.614153,0.614153,0.614153,0.614153,0.614153
49-9095,0.465043,0.468861,0.444729,0.441636,0.586467,0.579836,0.576305,0.597345,0.597345,0.597345,0.597345,0.597345,0.597345,0.597345
49-9096,0.405739,0.411641,0.391441,0.390523,0.538023,0.533172,0.527465,0.535095,0.535095,0.535095,0.535095,0.535095,0.535095,0.535095
49-9097,0.405670,0.410738,0.393107,0.385033,0.528220,0.520462,0.514523,0.537747,0.537747,0.537747,0.537747,0.537747,0.537747,0.537747
49-9098,0.335586,0.518197,0.500637,0.497844,0.534997,0.525994,0.523045,0.537658,0.546236,0.546236,0.546236,0.546236,0.546236,0.546236
51-1011,0.626116,0.632288,0.605077,0.619695,0.653339,0.645091,0.643412,0.692439,0.662256,0.662256,0.662256,0.662256,0.662256,0.662256
51-2011,0.351335,0.358723,0.333124,0.346155,0.528413,0.524934,0.521480,0.549829,0.549829,0.549829,0.549829,0.549829,0.594039,0.594039
51-2021,0.366170,0.373125,0.353128,0.349650,0.571100,0.564628,0.563507,0.597831,0.597831,0.597831,0.597831,0.597831,0.597831,0.597831
51-2022,0.463902,0.470926,0.449855,0.531914,0.561759,0.553482,0.553071,0.603396,0.603396,0.603396,0.605591,0.605591,0.605591,0.605591
51-2023,0.374258,0.381917,0.354345,0.357408,0.593382,0.586997,0.582813,0.605984,0.605984,0.605984,0.605984,0.605984,0.605984,0.605984
51-2031,0.389195,0.397786,0.379547,0.378622,0.539294,0.533793,0.532476,0.552209,0.552209,0.552209,0.552209,0.555873,0.555873,0.555873
51-2041,0.418757,0.425714,0.390278,0.500521,0.531777,0.523776,0.523182,0.549934,0.549934,0.549934,0.548489,0.548489,0.548489,0.548489
51-2093,0.421646,0.428013,0.404684,0.403320,0.475171,0.574207,0.573338,0.594001,0.594001,0.594001,0.594001,0.594001,0.594001,0.594001
51-3011,0.531354,0.536668,0.509698,0.494935,0.638791,0.631794,0.629031,0.671148,0.671148,0.671148,0.671148,0.671148,0.648010,0.648010
51-3021,0.627028,0.634216,0.610598,0.582804,0.617030,0.610271,0.609345,0.651423,0.651423,0.651423,0.651423,0.651423,0.651423,0.639031
51-3022,0.381704,0.394524,0.382576,0.540443,0.568614,0.562199,0.560073,0.597817,0.597817,0.597817,0.597817,0.597817,0.597817,0.597817
51-3023,0.335154,0.346128,0.335202,0.336379,0.569404,0.562305,0.561020,0.591332,0.591332,0.591332,0.591332,0.591332,0.591332,0.591332
51-3091,0.414031,0.421201,0.399331,0.512605,0.544660,0.542420,0.542388,0.571368,0.571368,0.571368,0.571368,0.571368,0.571368,0.571368
51-3092,0.523706,0.532226,0.535114,0.532803,0.566670,0.560229,0.559058,0.595796,0.609328,0.609328,0.609328,0.609328,0.609328,0.609328
51-3093,0.461469,0.470942,0.569728,0.564934,0.595114,0.584709,0.584191,0.615434,0.608173,0.608173,0.608173,0.608173,0.608173,0.608173
51-4011,0.432452,0.441145,0.414813,0.417349,0.543591,0.536407,0.534200,0.571508,0.571508,0.571508,0.574401,0.574401,0.574401,0.574401
51-4012,0.528716,0.536898,0.504642,0.507442,0.593278,0.585046,0.582839,0.627584,0.627584,0.627584,0.627584,0.627584,0.627584,0.636078
51-4021,0.393987,0.395972,0.364868,0.514365,0.546225,0.538614,0.533563,0.559450,0.559450,0.559450,0.559450,0.559450,0.565636,0.565636
51-4022,0.419401,0.425244,0.402997,0.514678,0.546804,0.537044,0.534477,0.562796,0.562796,0.562796,0.562796,0.562796,0.562796,0.566677
51-4023,0.437409,0.445759,0.419073,0.507397,0.543594,0.534717,0.533649,0.562164,0.562164,0.562164,0.562164,0.562164,0.562164,0.562164
51-4031,0.343290,0.351824,0.327630,0.495131,0.533634,0.528016,0.526887,0.550026,0.550026,0.550026,0.550026,0.550026,0.548644,0.548644
51-4032,0.417041,0.424066,0.399243,0.400687,0.539574,0.531743,0.528230,0.563943,0.563943,0.563943,0.583910,0.583910,0.583910,0.583910
51-4033,0.376341,0.381820,0.348354,0.501612,0.530111,0.522723,0.521428,0.553391,0.553391,0.553391,0.553391,0.553391,0.553391,0.571587
51-4034,0.382245,0.385946,0.356756,0.366471,0.530690,0.522355,0.522003,0.553901,0.553901,0.553901,0.553901,0.553901,0.553901,0.577046
51-4035,0.405486,0.407462,0.375735,0.382061,0.548340,0.538712,0.536882,0.575956,0.575956,0.575956,0.575956,0.575956,0.575956,0.585389
51-4041,0.462918,0.510874,0.482952,0.485928,0.535720,0.534132,0.533445,0.562920,0.562920,0.570829,0.570829,0.570829,0.570829,0.570829
51-4051,0.370846,0.377722,0.358889,0.470826,0.512503,0.504396,0.503405,0.529757,0.529757,0.529757,0.529757,0.529757,0.529757,0.529757
51-4052,0.346139,0.355336,0.336399,0.337653,0.540518,0.535687,0.534863,0.548873,0.548873,0.548873,0.548873,0.548873,0.548873,0.548873
